build dependencies,runtime dependencies
clang-5.0,
cmake,
curl,
git,
make,
python-setuptools,
sqlite3,sqlite3
xxdiff,
libarchive-dev,libarchive13
libboost-all-dev,libboost-date-time1.58.0;libboost-filesystem1.58.0
libbz2-dev,libbz2-1.0
libcurl3-dev,libcurl3
libfcgi-dev,libfcgi;spawn-fcgi
libgdal-dev,libgdal20
libgeos++-dev,libgeos++
libgeos-dev,libgeos-c1v5
libgtest-dev,
libjpeg-dev,libjpeg8
libpng-dev,libpng12-0
libpng++-dev,
libpoco-dev,libpocofoundation46;libpoconet46
libpqxx-dev,libpqxx-4.0
libproj-dev,libproj9
libpugixml-dev,libpugixml1v5
libsqlite3-dev,libsqlite3-0
liburiparser-dev,liburiparser1
libxerces-c-dev,libxerces-c3.1
valgrind,
